[INFO][12.03.2016 13:43:39] Logger started to work
[INFO][12.03.2016 13:43:42] Чтение информации о матрице из файла C:\Users\omman\Source\Repos\toop-project\toop-project\toop-project\res\testFile.mtx...
[INFO][12.03.2016 13:43:42] Чтение информации о матрице из файла завершено.
[INFO][12.03.2016 13:43:42] Выбранный формат матрицы - плотный.
[INFO][12.03.2016 13:43:42] Ввод размерности матрицы...
[INFO][12.03.2016 13:43:42] Ввод размерности матрицы завершен.
[INFO][12.03.2016 13:43:42] Ввод элементов матрицы...
[INFO][12.03.2016 13:43:42] Ввод элементов матрицы завершен.
[INFO][12.03.2016 13:43:42] Успешное завершение ввода матрицы.
[INFO][12.03.2016 13:43:53] Чтение информации о правой части из файла C:\Users\omman\Source\Repos\toop-project\toop-project\toop-project\res\testRP.rtx.
[INFO][12.03.2016 13:43:53] Ввод размерности правой части...
[INFO][12.03.2016 13:43:53] Ввод размерности правой части завершен.
[INFO][12.03.2016 13:43:53] Ввод элементов правой части...
[INFO][12.03.2016 13:43:53] Ввод элементов правой части завершен.
[INFO][12.03.2016 13:43:53] Успешное завершение ввода правой части.
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 0, residual is 1
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 129, residual is 1,3245021313707
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 130, residual is 1,33718781272242
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 131, residual is 1,34991452432713
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 132, residual is 1,3626795694419
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 133, residual is 1,37548026366285
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 134, residual is 1,38831393759595
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 135, residual is 1,40117793942473
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 136, residual is 1,41406963737512
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 137, residual is 1,42698642207749
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 138, residual is 1,43992570882605
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 139, residual is 1,452884939736
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 140, residual is 1,46586158579866
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 141, residual is 1,47885314883521
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 142, residual is 1,49185716334943
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 143, residual is 1,50487119828032
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 144, residual is 1,51789285865523
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 145, residual is 1,5309197871445
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 146, residual is 1,54394966551863
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 147, residual is 1,55698021600914
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 148, residual is 1,5700092025743
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 149, residual is 1,58303443207123
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 150, residual is 1,59605375533579
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 151, residual is 1,60906506817186
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 152, residual is 1,62206631225172
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 153, residual is 1,63505547592928
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 154, residual is 1,64803059496818
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 155, residual is 1,66098975318657
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 156, residual is 1,67393108302073
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 157, residual is 1,68685276600962
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 158, residual is 1,6997530332026
